******Format of cpu stats log file: Date/Time     CPU Temp        Load Average    CPU Frequency   Governor***
Thu Apr 22 23:26:21 CDT 2010  48        3.08 1.68 1.12 8/226 7421        800000        userspace
Thu Apr 22 23:26:27 CDT 2010  48        3.71 1.83 1.18 9/225 7427        800000        userspace
Thu Apr 22 23:26:32 CDT 2010  48        4.45 2.02 1.24 10/225 7433        800000        userspace
Thu Apr 22 23:26:37 CDT 2010  48        4.98 2.17 1.29 8/225 7439        800000        userspace
Thu Apr 22 23:26:42 CDT 2010  48        5.14 2.25 1.32 8/225 7445        800000        userspace
Thu Apr 22 23:26:48 CDT 2010  48        5.21 2.31 1.35 9/225 7451        800000        userspace
Thu Apr 22 23:26:53 CDT 2010  48        5.43 2.41 1.38 9/225 7457        800000        userspace
Thu Apr 22 23:26:58 CDT 2010  48        5.72 2.51 1.42 10/227 7465        800000        userspace
Thu Apr 22 23:27:03 CDT 2010  48        5.98 2.62 1.47 10/227 7472        800000        userspace
Thu Apr 22 23:27:09 CDT 2010  48        6.22 2.73 1.51 10/227 7480        800000        userspace
Thu Apr 22 23:27:14 CDT 2010  48        6.36 2.81 1.54 14/229 7488        800000        userspace
Thu Apr 22 23:27:19 CDT 2010  48        6.65 2.93 1.59 11/229 7495        800000        userspace
Thu Apr 22 23:27:25 CDT 2010  48        7.16 3.10 1.65 13/230 7502        800000        userspace
Thu Apr 22 23:27:30 CDT 2010  48        8.29 3.48 1.78 13/230 7508        800000        userspace
Thu Apr 22 23:27:35 CDT 2010  48        8.59 3.62 1.84 15/231 7517        800000        userspace
Thu Apr 22 23:27:41 CDT 2010  48        8.86 3.76 1.89 13/232 7525        800000        userspace
Thu Apr 22 23:27:46 CDT 2010  48        9.03 3.88 1.94 13/232 7531        800000        userspace
Thu Apr 22 23:27:51 CDT 2010  48        9.19 3.99 1.99 14/232 7537        800000        userspace
Thu Apr 22 23:27:57 CDT 2010  48        9.34 4.11 2.04 13/232 7543        800000        userspace
Thu Apr 22 23:28:02 CDT 2010  48        9.55 4.24 2.09 13/232 7549        800000        userspace
Thu Apr 22 23:28:08 CDT 2010  48        9.66 4.35 2.14 14/232 7556        800000        userspace
Thu Apr 22 23:28:13 CDT 2010  48        10.25 4.56 2.22 15/233 7564        800000        userspace
Thu Apr 22 23:28:18 CDT 2010  48        10.31 4.67 2.27 13/232 7573        800000        userspace
Thu Apr 22 23:28:24 CDT 2010  48        10.29 4.76 2.31 12/233 7581        800000        userspace
Thu Apr 22 23:28:29 CDT 2010  48        10.26 4.84 2.35 15/233 7587        800000        userspace
Thu Apr 22 23:28:34 CDT 2010  48        10.24 4.93 2.39 13/233 7593        800000        userspace
Thu Apr 22 23:28:40 CDT 2010  48        10.62 5.10 2.46 13/233 7599        800000        userspace
Thu Apr 22 23:28:45 CDT 2010  48        10.89 5.24 2.52 13/233 7606        800000        userspace
Thu Apr 22 23:28:50 CDT 2010  48        10.98 5.45 2.61 14/233 7612        800000        userspace
Thu Apr 22 23:28:56 CDT 2010  48        11.06 5.56 2.66 15/233 7618        800000        userspace
Thu Apr 22 23:29:01 CDT 2010  48        11.05 5.65 2.71 12/233 7624        800000        userspace
Thu Apr 22 23:29:06 CDT 2010  48        11.05 5.74 2.75 12/233 7630        800000        userspace
Thu Apr 22 23:29:12 CDT 2010  48        11.04 5.82 2.80 19/231 7642        800000        userspace
Thu Apr 22 23:29:18 CDT 2010  48        11.36 5.98 2.86 13/234 7653        800000        userspace
Thu Apr 22 23:29:23 CDT 2010  48        11.41 6.08 2.91 13/234 7659        800000        userspace
Thu Apr 22 23:29:29 CDT 2010  48        11.54 6.19 2.96 13/234 7667        800000        userspace
Thu Apr 22 23:29:34 CDT 2010  48        11.50 6.27 3.01 13/234 7673        800000        userspace
Thu Apr 22 23:29:40 CDT 2010  48        11.70 6.40 3.07 13/234 7679        800000        userspace
Thu Apr 22 23:29:45 CDT 2010  48        11.72 6.49 3.11 13/234 7685        800000        userspace
Thu Apr 22 23:29:50 CDT 2010  48        11.66 6.56 3.16 14/234 7693        800000        userspace
Thu Apr 22 23:29:56 CDT 2010  48        12.24 6.86 3.29 13/234 7700        800000        userspace
Thu Apr 22 23:30:01 CDT 2010  48        12.30 6.96 3.34 13/234 7706        800000        userspace
Thu Apr 22 23:30:07 CDT 2010  48        12.36 7.06 3.39 13/234 7713        800000        userspace
Thu Apr 22 23:30:12 CDT 2010  48        12.25 7.12 3.43 13/234 7719        800000        userspace
Thu Apr 22 23:30:17 CDT 2010  48        12.39 7.24 3.49 13/233 7727        800000        userspace
Thu Apr 22 23:30:23 CDT 2010  48        12.44 7.33 3.54 14/233 7733        800000        userspace
Thu Apr 22 23:30:28 CDT 2010  48        12.32 7.39 3.58 13/233 7739        800000        userspace
Thu Apr 22 23:30:33 CDT 2010  48        12.14 7.44 3.61 12/233 7745        800000        userspace
Thu Apr 22 23:30:39 CDT 2010  48        12.13 7.51 3.66 13/233 7752        800000        userspace
Thu Apr 22 23:30:44 CDT 2010  48        12.04 7.57 3.70 14/233 7758        800000        userspace
Thu Apr 22 23:30:49 CDT 2010  48        12.03 7.64 3.74 13/233 7764        800000        userspace
Thu Apr 22 23:30:55 CDT 2010  48        12.11 7.73 3.79 14/232 7770        800000        userspace
Thu Apr 22 23:31:00 CDT 2010  48        12.02 7.79 3.83 13/236 7781        800000        userspace
Thu Apr 22 23:31:05 CDT 2010  48        12.26 7.91 3.89 16/236 7787        800000        userspace
Thu Apr 22 23:31:11 CDT 2010  48        12.64 8.06 3.96 14/236 7793        800000        userspace
Thu Apr 22 23:31:16 CDT 2010  48        12.61 8.20 4.05 13/236 7802        800000        userspace
Thu Apr 22 23:31:22 CDT 2010  48        12.64 8.28 4.10 12/236 7808        800000        userspace
Thu Apr 22 23:31:27 CDT 2010  48        12.67 8.36 4.15 13/236 7814        800000        userspace
Thu Apr 22 23:31:32 CDT 2010  48        12.69 8.44 4.19 13/236 7820        800000        userspace
Thu Apr 22 23:31:38 CDT 2010  48        12.72 8.51 4.24 14/236 7827        800000        userspace
Thu Apr 22 23:31:43 CDT 2010  48        12.74 8.59 4.29 13/235 7833        800000        userspace
Thu Apr 22 23:31:48 CDT 2010  48        12.60 8.63 4.32 14/235 7839        800000        userspace
Thu Apr 22 23:31:54 CDT 2010  48        12.71 8.72 4.37 14/235 7845        800000        userspace
Thu Apr 22 23:31:59 CDT 2010  48        12.66 8.77 4.41 15/235 7851        800000        userspace
Thu Apr 22 23:32:04 CDT 2010  48        12.76 8.86 4.47 13/218 7874        800000        userspace
Thu Apr 22 23:32:11 CDT 2010  48        13.26 9.02 4.54 12/220 7906        800000        userspace
Thu Apr 22 23:32:16 CDT 2010  48        13.68 9.25 4.67 13/220 7914        800000        userspace
Thu Apr 22 23:32:21 CDT 2010  48        13.79 9.35 4.72 13/220 7920        800000        userspace
Thu Apr 22 23:32:27 CDT 2010  48        13.64 9.39 4.76 13/220 7926        800000        userspace
Thu Apr 22 23:32:32 CDT 2010  48        13.59 9.45 4.80 14/220 7933        800000        userspace
Thu Apr 22 23:32:37 CDT 2010  48        13.62 9.53 4.85 15/220 7939        800000        userspace
Thu Apr 22 23:32:43 CDT 2010  48        13.57 9.59 4.90 13/220 7945        800000        userspace
Thu Apr 22 23:32:48 CDT 2010  48        13.45 9.63 4.93 15/220 7952        800000        userspace
Thu Apr 22 23:32:53 CDT 2010  48        13.41 9.68 4.98 13/220 7958        800000        userspace
Thu Apr 22 23:32:59 CDT 2010  48        13.38 9.74 5.02 15/224 7972        800000        userspace
Thu Apr 22 23:33:04 CDT 2010  48        13.99 9.92 5.11 13/224 7986        800000        userspace
Thu Apr 22 23:33:09 CDT 2010  48        14.07 10.01 5.16 13/224 8023        800000        userspace
Thu Apr 22 23:33:14 CDT 2010  48        13.82 10.02 5.19 14/224 8029        800000        userspace
Thu Apr 22 23:33:20 CDT 2010  48        13.60 10.04 5.22 14/224 8035        800000        userspace
Thu Apr 22 23:33:25 CDT 2010  48        13.63 10.10 5.27 14/224 8041        800000        userspace
Thu Apr 22 23:33:30 CDT 2010  48        13.90 10.22 5.33 13/224 8048        800000        userspace
Thu Apr 22 23:33:36 CDT 2010  48        14.07 10.37 5.43 14/224 8054        800000        userspace
Thu Apr 22 23:33:41 CDT 2010  48        14.06 10.43 5.48 15/224 8060        800000        userspace
Thu Apr 22 23:33:46 CDT 2010  48        14.06 10.49 5.53 14/224 8066        800000        userspace
