******Format of cpu stats log file: Date/Time     CPU Temp        Load Average    CPU Frequency   Governor***
Fri Apr 23 09:36:12 PDT 2010  21        2.82 0.76 0.28 8/172 19050        500000        userspace
Fri Apr 23 09:36:13 PDT 2010  21        3.08 0.85 0.31 8/172 19056        500000        userspace
Fri Apr 23 09:36:15 PDT 2010  21        3.08 0.85 0.31 9/172 19062        500000        userspace
Fri Apr 23 09:36:16 PDT 2010  21        3.08 0.85 0.31 8/172 19068        500000        userspace
Fri Apr 23 09:36:17 PDT 2010  21        3.08 0.85 0.31 8/172 19074        500000        userspace
Fri Apr 23 09:36:18 PDT 2010  21        3.31 0.93 0.34 8/172 19080        500000        userspace
Fri Apr 23 09:36:20 PDT 2010  21        3.31 0.93 0.34 8/172 19086        500000        userspace
Fri Apr 23 09:36:21 PDT 2010  21        3.31 0.93 0.34 9/172 19092        500000        userspace
Fri Apr 23 09:36:22 PDT 2010  21        3.31 0.93 0.34 8/172 19098        500000        userspace
Fri Apr 23 09:36:23 PDT 2010  21        3.69 1.05 0.38 10/174 19106        500000        userspace
Fri Apr 23 09:36:25 PDT 2010  21        3.69 1.05 0.38 10/174 19112        500000        userspace
Fri Apr 23 09:36:26 PDT 2010  21        3.69 1.05 0.38 10/174 19118        500000        userspace
Fri Apr 23 09:36:27 PDT 2010  21        3.69 1.05 0.38 11/174 19124        500000        userspace
Fri Apr 23 09:36:28 PDT 2010  21        4.03 1.16 0.42 10/174 19130        500000        userspace
Fri Apr 23 09:36:30 PDT 2010  21        4.03 1.16 0.42 10/174 19136        500000        userspace
Fri Apr 23 09:36:31 PDT 2010  21        4.03 1.16 0.42 10/174 19142        500000        userspace
Fri Apr 23 09:36:32 PDT 2010  21        4.03 1.16 0.42 10/174 19148        500000        userspace
Fri Apr 23 09:36:34 PDT 2010  21        4.43 1.29 0.46 10/174 19154        500000        userspace
Fri Apr 23 09:36:35 PDT 2010  21        4.43 1.29 0.46 10/174 19160        500000        userspace
Fri Apr 23 09:36:36 PDT 2010  21        4.43 1.29 0.46 10/174 19166        500000        userspace
Fri Apr 23 09:36:37 PDT 2010  21        4.43 1.29 0.46 10/174 19172        500000        userspace
Fri Apr 23 09:36:39 PDT 2010  21        4.71 1.41 0.50 11/174 19178        500000        userspace
Fri Apr 23 09:36:40 PDT 2010  21        4.71 1.41 0.50 10/174 19184        500000        userspace
Fri Apr 23 09:36:41 PDT 2010  21        4.71 1.41 0.50 10/174 19190        500000        userspace
Fri Apr 23 09:36:42 PDT 2010  21        4.71 1.41 0.50 11/174 19196        500000        userspace
Fri Apr 23 09:36:44 PDT 2010  21        4.98 1.52 0.54 10/174 19202        500000        userspace
Fri Apr 23 09:36:45 PDT 2010  21        4.98 1.52 0.54 11/174 19208        500000        userspace
Fri Apr 23 09:36:46 PDT 2010  21        4.98 1.52 0.54 10/174 19214        500000        userspace
Fri Apr 23 09:36:47 PDT 2010  21        4.98 1.52 0.54 10/174 19220        500000        userspace
Fri Apr 23 09:36:49 PDT 2010  21        5.22 1.62 0.58 10/174 19226        500000        userspace
Fri Apr 23 09:36:50 PDT 2010  21        5.22 1.62 0.58 10/174 19232        500000        userspace
Fri Apr 23 09:36:51 PDT 2010  21        5.22 1.62 0.58 10/174 19238        500000        userspace
Fri Apr 23 09:36:53 PDT 2010  21        5.22 1.62 0.58 10/174 19244        500000        userspace
Fri Apr 23 09:36:54 PDT 2010  21        5.60 1.76 0.63 10/174 19250        500000        userspace
Fri Apr 23 09:36:55 PDT 2010  21        5.60 1.76 0.63 11/174 19256        500000        userspace
Fri Apr 23 09:36:56 PDT 2010  21        5.60 1.76 0.63 10/174 19262        500000        userspace
Fri Apr 23 09:36:58 PDT 2010  21        5.60 1.76 0.63 10/174 19268        500000        userspace
Fri Apr 23 09:36:59 PDT 2010  21        6.03 1.91 0.69 10/174 19274        500000        userspace
Fri Apr 23 09:37:00 PDT 2010  21        6.03 1.91 0.69 11/174 19280        500000        userspace
Fri Apr 23 09:37:02 PDT 2010  21        6.03 1.91 0.69 10/174 19289        500000        userspace
Fri Apr 23 09:37:03 PDT 2010  21        6.35 2.05 0.74 10/174 19295        500000        userspace
Fri Apr 23 09:37:05 PDT 2010  21        6.35 2.05 0.74 10/174 19301        500000        userspace
Fri Apr 23 09:37:06 PDT 2010  21        6.35 2.05 0.74 11/174 19307        500000        userspace
Fri Apr 23 09:37:07 PDT 2010  21        6.35 2.05 0.74 10/174 19313        500000        userspace
Fri Apr 23 09:37:08 PDT 2010  21        6.48 2.15 0.78 10/174 19319        500000        userspace
Fri Apr 23 09:37:10 PDT 2010  21        6.48 2.15 0.78 10/174 19325        500000        userspace
Fri Apr 23 09:37:11 PDT 2010  21        6.48 2.15 0.78 10/174 19331        500000        userspace
Fri Apr 23 09:37:12 PDT 2010  21        6.48 2.15 0.78 10/174 19337        500000        userspace
Fri Apr 23 09:37:13 PDT 2010  21        6.60 2.24 0.82 10/174 19343        500000        userspace
Fri Apr 23 09:37:14 PDT 2010  21        6.60 2.24 0.82 10/174 19349        500000        userspace
Fri Apr 23 09:37:16 PDT 2010  21        6.60 2.24 0.82 11/174 19355        500000        userspace
Fri Apr 23 09:37:17 PDT 2010  21        6.60 2.24 0.82 10/174 19361        500000        userspace
Fri Apr 23 09:37:18 PDT 2010  21        6.72 2.34 0.86 10/174 19367        500000        userspace
Fri Apr 23 09:37:20 PDT 2010  21        6.72 2.34 0.86 10/174 19373        500000        userspace
Fri Apr 23 09:37:21 PDT 2010  21        6.72 2.34 0.86 11/174 19379        500000        userspace
Fri Apr 23 09:37:22 PDT 2010  21        6.72 2.34 0.86 10/174 19385        500000        userspace
Fri Apr 23 09:37:23 PDT 2010  21        6.82 2.43 0.89 10/174 19391        500000        userspace
Fri Apr 23 09:37:25 PDT 2010  21        6.82 2.43 0.89 10/174 19397        500000        userspace
Fri Apr 23 09:37:26 PDT 2010  21        6.82 2.43 0.89 10/174 19403        500000        userspace
Fri Apr 23 09:37:27 PDT 2010  21        6.82 2.43 0.89 10/174 19409        500000        userspace
Fri Apr 23 09:37:29 PDT 2010  21        6.91 2.53 0.93 10/174 19415        500000        userspace
Fri Apr 23 09:37:30 PDT 2010  21        6.91 2.53 0.93 10/174 19421        500000        userspace
Fri Apr 23 09:37:31 PDT 2010  21        6.91 2.53 0.93 10/174 19427        500000        userspace
Fri Apr 23 09:37:32 PDT 2010  21        6.91 2.53 0.93 10/174 19433        500000        userspace
Fri Apr 23 09:37:34 PDT 2010  21        7.08 2.63 0.97 11/174 19439        500000        userspace
Fri Apr 23 09:37:35 PDT 2010  21        7.08 2.63 0.97 10/174 19445        500000        userspace
Fri Apr 23 09:37:36 PDT 2010  21        7.08 2.63 0.97 10/174 19451        500000        userspace
